GeneA,GeneB
O00161,Q9UHD9
O00161,Q9UKI8
O00165,O00303
O00165,O14980
O00165,O15371
O00165,O15439
O00165,O43464
O00165,O43572
O00165,O60268
O00165,O95342
O00165,O95425
O00165,O95460
O00165,P01583
O00165,P03372
O00165,P04350
O00165,P06576
O00165,P08183
O00165,P08238
O00165,P0CG48
O00165,P11021
O00165,P13569
O00165,P14317
O00165,P15735
O00165,P19438
O00165,P20333
O00165,P21439
O00165,P27348
O00165,P27694
O00165,P29353
O00165,P38646
O00165,P42858
O00165,P48454
O00165,P51692
O00165,P53779
O00165,P62877
O00165,P98170
O00165,Q01844
O00165,Q04206
O00165,Q08116
O00165,Q13418
O00165,Q13563
O00165,Q13618
O00165,Q13619
O00165,Q14247
O00165,Q14451
O00165,Q14541
O00165,Q15714
O00165,Q16760
O00165,Q6PSM0
O00165,Q86Z02
O00165,Q8NHX9
O00165,Q8TAQ5
O00165,Q96PU5
O00165,Q99759
O00165,Q9HB75
O00165,Q9NPI6
O00165,Q9NR20
O00165,Q9P1U0
O00165,Q9UKV5
O00165,Q9ULQ1
O00165,Q9Y2S0
O00167,P04899
O00167,P19086
O00167,Q15475
O00167,Q93062
O00167,Q96MA1
O00167,Q96T76
O00167,Q9UIU6
O00168,O14494
O00168,P05023
O00168,P05026
O00168,P17612
O00168,P19021
O00168,P27348
O00168,P62136
O00168,Q09013
O00170,O00408
O00170,O75170
O00170,P00533
O00170,P07900
O00170,P08235
O00170,P08238
O00170,P0CG48
O00170,P11279
O00170,P27540
O00170,P27815
O00170,P31948
O00170,P35869
O00170,P38646
O00170,P41091
O00170,P50395
O00170,P50750
O00170,P61244
O00170,P68400
O00170,Q07869
O00170,Q13418
O00170,Q14344
O00170,Q15185
O00170,Q15388
O00170,Q16656
O00170,Q59H18
O00170,Q92985
O00170,Q9BXN2
O00170,Q9Y6K9
O00175,P51677
O00178,O60216
O00178,P05067
O00178,P0CG48
O00178,P51858
O00178,Q07954
O00178,Q13568
O00178,Q13618
O00178,Q86VP6
O00178,Q92905
O00180,P0CG48
O00180,P63279
O00180,Q13488
O00180,Q15717
O00180,Q9P0U3
O00182,P14923
O00182,P35222
O00182,Q15758
O00186,O14893
O00186,P02751
O00186,P0CG48
O00186,P11441
O00186,P14678
O00186,P17252
O00186,P32856
O00186,P39023
O00186,P57678
O00186,P62316
O00186,P62318
O00186,P63027
O00186,Q12846
O00186,Q15833
O00186,Q16637
O00186,Q8TEQ6
O00186,Q9H299
O00186,Q9NSN8
O00186,Q9UHI6
O00186,Q9Y2L1
O00187,O00187
O00187,P05155
O00187,P11226
O00187,P48740
O00187,Q15485
O00189,O15209
O00189,O43424
O00189,O43493
O00189,O60359
O00189,P08962
O00189,P0CG13
O00189,P0CG48
O00189,P13473
O00189,P84077
O00189,Q13224
O00189,Q59EW6
O00189,Q9UPM8
O00189,Q9Y2R4
O00189,Q9Y6B7
O00192,O15379
O00192,P0CG48
O00192,P12830
O00192,P19022
O00192,P55291
O00192,Q07157
O00192,Q8TBB1
O00192,Q96RT1
O00193,O43865
O00193,O60563
O00193,O75083
O00193,O75533
O00193,P00338
O00193,P01023
O00193,P05386
O00193,P0CG48
O00193,P10074
O00193,P10809
O00193,P14649
O00193,P15586
O00193,P19387
O00193,P21246
O00193,P23508
O00193,P26641
O00193,P29353
O00193,P30041
O00193,P30480
O00193,P49721
O00193,P52788
O00193,P55809
O00193,Q01105
O00193,Q12765
O00193,Q13595
O00193,Q14164
O00193,Q14703
O00193,Q15293
O00193,Q16719
O00193,Q75N90
O00193,Q7KZI7
O00193,Q8TAF3
O00193,Q8WWI5
O00193,Q99436
O00193,Q9NV58
O00193,Q9P283
O00193,Q9P2H0
O00193,Q9UHD1
O00193,Q9UJ70
O00193,Q9Y2T3
O00193,Q9Y2Z0
O00193,Q9Y6E2
O00193,Q9Y6H5
O00194,Q03135
O00194,Q70J99
O00194,Q8IYJ3
O00194,Q96C24
O00194,Q9BV36
O00194,Q9HCH5
O00194,Q9UNE2
O00194,Q9Y2J0
O00198,P10415
O00198,Q07021
O00198,Q07817
O00198,Q07820
O00198,Q15717
O00198,Q16548
O00198,Q92843
O00198,Q92934
O00203,O14617
O00203,O43683
O00203,O60566
O00203,P02730
O00203,P0CG48
O00203,P32121
O00203,P34947
O00203,P36575
O00203,P48729
O00203,P49407
O00203,P59780
O00203,P62330
O00203,P84077
O00203,P84085
O00203,Q00610
O00203,Q16656
O00203,Q92572
O00203,Q96JB2
O00203,Q99726
O00203,Q9Y2T2
O00203,Q9Y496
O00204,P49888
O00204,Q96Q35
O00206,C3PTT6
O00206,O00206
O00206,O14964
O00206,O15263
O00206,O43187
O00206,O43353
O00206,O60602
O00206,O95999
O00206,P00533
O00206,P08571
O00206,P09429
O00206,P0CG48
O00206,P11142
O00206,P12931
O00206,P14625
O00206,P34932
O00206,P41273
O00206,P43405
O00206,P51617
O00206,P55085
O00206,P58753
O00206,P60510
O00206,P84022
O00206,Q05513
O00206,Q06187
O00206,Q13114
O00206,Q15399
O00206,Q6IA17
O00206,Q86WT6
O00206,Q86XR7
O00206,Q8IUC6
O00206,Q8N129
O00206,Q8N1F8
O00206,Q99836
O00206,Q9BQ95
O00206,Q9H0E2
O00206,Q9NPH5
O00206,Q9NWF9
O00206,Q9NWZ3
O00206,Q9UHD2
O00206,Q9UHV2
O00206,Q9UNE7
O00206,Q9UPT6
O00206,Q9Y4K3
O00206,Q9Y6Y9
O00212,O00238
O00212,O43157
O00212,O60610
O00212,O60879
O00212,P01112
O00212,P0CG48
O00212,P36897
O00212,Q04771
O00212,Q13485
O00212,Q14623
O00212,Q15796
O00212,Q3MIX3
O00212,Q52LW3
O00212,Q969H4
O00212,Q9HAU4
O00212,Q9UIW2
O00212,Q9Y4D1
O00213,O00401
O00213,O00571
O00213,O43143
O00213,O43516
O00213,O43719
O00213,O60610
O00213,O60828
O00213,O60879
O00213,O75533
O00213,O94985
O00213,P00519
O00213,P00533
O00213,P04083
O00213,P04156
O00213,P04626
O00213,P05067
O00213,P0C7T5
O00213,P0CG48
O00213,P11940
O00213,P23246
O00213,P26368
O00213,P26599
O00213,P31943
O00213,P36578
O00213,P42768
O00213,P46531
O00213,P48023
O00213,P49750
O00213,P50552
O00213,P51693
O00213,P54253
O00213,P61978
O00213,P61981
O00213,P67809
O00213,P98164
O00213,Q01105
O00213,Q06481
O00213,Q07666
O00213,Q07954
O00213,Q08211
O00213,Q12800
O00213,Q12874
O00213,Q13435
O00213,Q13547
O00213,Q13620
O00213,Q15233
O00213,Q15393
O00213,Q15427
O00213,Q15428
O00213,Q15459
O00213,Q15637
O00213,Q15843
O00213,Q16630
O00213,Q63HK5
O00213,Q6ZSZ6
O00213,Q7L014
O00213,Q7L576
O00213,Q8IWX8
O00213,Q8IZP0
O00213,Q8N684
O00213,Q8N8S7
O00213,Q8TF74
O00213,Q92841
O00213,Q92945
O00213,Q92993
O00213,Q96F07
O00213,Q96F63
O00213,Q96I25
O00213,Q96PU5
O00213,Q9NRE2
O00213,Q9UI08
O00213,Q9Y2W1
O00213,Q9Y2W2
O00213,Q9Y6W5
O00214,O00214
O00214,P00533
O00214,P05556
O00214,P0CG48
O00214,P13612
O00214,P26006
O00214,Q00604
O00214,Q13137
O00214,Q13616
O00214,Q15583
O00214,Q504Q3
O00214,Q99728
O00217,E5KRX5
O00217,O60313
O00217,O75251
O00217,O75306
O00217,O75380
O00217,O75489
O00217,P05388
O00217,P08574
O00217,P0CG48
O00217,P19404
O00217,P28331
O00217,P31040
O00217,P38646
O00217,P39210
O00217,P40692
O00217,P49768
O00217,P49821
O00217,P55040
O00217,P61020
O00217,Q02127
O00217,Q14197
O00217,Q16656
O00217,Q7KZN9
O00217,Q8IXI1
O00217,Q92887
O00217,Q9BU61
O00217,Q9Y512
O00219,P0CG48
O00219,Q92819
O00220,O00220
O00220,O14763
O00220,O15519
O00220,O95999
O00220,P01730
O00220,P02458
O00220,P0CG48
O00220,P22681
O00220,P50591
O00220,P51398
O00220,Q06187
O00220,Q12933
O00220,Q13158
O00220,Q13501
O00220,Q13546
O00220,Q13618
O00220,Q14790
O00220,Q15628
O00220,Q8WXG6
O00220,Q92851
O00220,Q96BY2
O00220,Q96P48
O00220,Q99497
O00220,Q9NS23
O00220,Q9UBN6
O00221,D3DR86
O00221,O00743
O00221,O15084
O00221,O15111
O00221,O75170
O00221,O75179
O00221,O95816
O00221,P01583
O00221,P04350
O00221,P07437
O00221,P07814
O00221,P07900
O00221,P08238
O00221,P11021
O00221,P11142
O00221,P14923
O00221,P19838
O00221,P23246
O00221,P27708
O00221,P28066
O00221,P34931
O00221,P38646
O00221,P41252
O00221,P54136
O00221,P55072
O00221,P56524
O00221,P61289
O00221,P62158
O00221,P63208
O00221,P78527
O00221,Q00610
O00221,Q00653
O00221,Q01201
O00221,Q04206
O00221,Q04864
O00221,Q07021
O00221,Q13616
O00221,Q13748
O00221,Q3ZCQ8
O00221,Q5H9R7
O00221,Q8IWG5
O00221,Q8IWZ2
O00221,Q8IWZ3
O00221,Q8WVZ9
O00221,Q92974
O00221,Q9BZF9
O00221,Q9UKB1
O00221,Q9UPN7
O00221,Q9UQC1
O00221,Q9UQL6
