GeneA,GeneB
P05067,Q9NTI7
P05067,Q9NTX5
P05067,Q9NUI1
P05067,Q9NUJ1
P05067,Q9NUJ3
P05067,Q9NUV9
P05067,Q9NVD7
P05067,Q9NVI1
P05067,Q9NVJ2
P05067,Q9NVP1
P05067,Q9NVR5
P05067,Q9NVS2
P05067,Q9NVS9
P05067,Q9NVT9
P05067,Q9NVZ3
P05067,Q9NW61
P05067,Q9NWA0
P05067,Q9NWB6
P05067,Q9NWU1
P05067,Q9NWW0
P05067,Q9NWW6
P05067,Q9NWX5
P05067,Q9NWZ8
P05067,Q9NX02
P05067,Q9NX55
P05067,Q9NXA8
P05067,Q9NXF8
P05067,Q9NXR8
P05067,Q9NXS2
P05067,Q9NXZ2
P05067,Q9NY33
P05067,Q9NYJ8
P05067,Q9NYM9
P05067,Q9NYS0
P05067,Q9NYU1
P05067,Q9NYY3
P05067,Q9NZ43
P05067,Q9NZ63
P05067,Q9NZE8
P05067,Q9NZH5
P05067,Q9NZL4
P05067,Q9NZL6
P05067,Q9NZL9
P05067,Q9NZQ9
P05067,Q9NZR1
P05067,Q9NZR2
P05067,Q9NZU5
P05067,Q9P013
P05067,Q9P031
P05067,Q9P086
P05067,Q9P0K8
P05067,Q9P0L0
P05067,Q9P0M9
P05067,Q9P0N9
P05067,Q9P0P8
P05067,Q9P0S3
P05067,Q9P0T4
P05067,Q9P0U3
P05067,Q9P0W2
P05067,Q9P0W8
P05067,Q9P121
P05067,Q9P1Z2
P05067,Q9P215
P05067,Q9P219
P05067,Q9P232
P05067,Q9P270
P05067,Q9P2K3
P05067,Q9TDH6
P05067,Q9UBD5
P05067,Q9UBE0
P05067,Q9UBF9
P05067,Q9UBG7
P05067,Q9UBI4
P05067,Q9UBK9
P05067,Q9UBQ0
P05067,Q9UBU8
P05067,Q9UBY5
P05067,Q9UBY9
P05067,Q9UEE9
P05067,Q9UET6
P05067,Q9UGI6
P05067,Q9UGM6
P05067,Q9UGP4
P05067,Q9UGP5
P05067,Q9UGY1
P05067,Q9UH62
P05067,Q9UH92
P05067,Q9UHB6
P05067,Q9UHD2
P05067,Q9UHD8
P05067,Q9UHG0
P05067,Q9UHI6
P05067,Q9UHQ1
P05067,Q9UHV5
P05067,Q9UIK4
P05067,Q9UIM3
P05067,Q9UIS9
P05067,Q9UIV1
P05067,Q9UJ90
P05067,Q9UJT2
P05067,Q9UJT9
P05067,Q9UJY4
P05067,Q9UJY5
P05067,Q9UJZ1
P05067,Q9UK32
P05067,Q9UK58
P05067,Q9UKB3
P05067,Q9UKC9
P05067,Q9UKQ9
P05067,Q9UKX7
P05067,Q9UL33
P05067,Q9UL45
P05067,Q9UL46
P05067,Q9ULE0
P05067,Q9ULJ1
P05067,Q9ULJ7
P05067,Q9ULQ0
P05067,Q9ULW5
P05067,Q9ULX3
P05067,Q9UM07
P05067,Q9UM82
P05067,Q9UMR2
P05067,Q9UMX0
P05067,Q9UMY1
P05067,Q9UN70
P05067,Q9UN72
P05067,Q9UNA4
P05067,Q9UNE7
P05067,Q9UNI6
P05067,Q9UNQ2
P05067,Q9UP65
P05067,Q9UPP1
P05067,Q9UPQ3
P05067,Q9UPR3
P05067,Q9UPZ9
P05067,Q9UQ13
P05067,Q9UQ35
P05067,Q9UQB8
P05067,Q9UQF2
P05067,Q9UQK1
P05067,Q9Y230
P05067,Q9Y234
P05067,Q9Y242
P05067,Q9Y253
P05067,Q9Y258
P05067,Q9Y274
P05067,Q9Y275
P05067,Q9Y279
P05067,Q9Y287
P05067,Q9Y296
P05067,Q9Y2B0
P05067,Q9Y2B4
P05067,Q9Y2H9
P05067,Q9Y2I7
P05067,Q9Y2S6
P05067,Q9Y2S7
P05067,Q9Y2Z9
P05067,Q9Y365
P05067,Q9Y371
P05067,Q9Y383
P05067,Q9Y399
P05067,Q9Y3B2
P05067,Q9Y3B4
P05067,Q9Y3B7
P05067,Q9Y3B9
P05067,Q9Y3C1
P05067,Q9Y3C5
P05067,Q9Y3E2
P05067,Q9Y3E7
P05067,Q9Y3N9
P05067,Q9Y3T9
P05067,Q9Y3U8
P05067,Q9Y3Y2
P05067,Q9Y3Z3
P05067,Q9Y421
P05067,Q9Y450
P05067,Q9Y458
P05067,Q9Y478
P05067,Q9Y484
P05067,Q9Y496
P05067,Q9Y4K3
P05067,Q9Y4L5
P05067,Q9Y4X4
P05067,Q9Y530
P05067,Q9Y546
P05067,Q9Y587
P05067,Q9Y5A9
P05067,Q9Y5F6
P05067,Q9Y5I7
P05067,Q9Y5J5
P05067,Q9Y5K3
P05067,Q9Y5K5
P05067,Q9Y5N6
P05067,Q9Y5P3
P05067,Q9Y5S9
P05067,Q9Y5U2
P05067,Q9Y5V0
P05067,Q9Y5Z0
P05067,Q9Y614
P05067,Q9Y615
P05067,Q9Y617
P05067,Q9Y664
P05067,Q9Y689
P05067,Q9Y691
P05067,Q9Y698
P05067,Q9Y6F1
P05067,Q9Y6Q5
P05067,Q9Y6R0
P05067,Q9Y6X0
P05067,Q9Y6X1
P05067,Q9Y6X8
P05089,P05089
P05089,P0CG48
P05089,P15927
P05089,P27694
P05089,P29475
P05089,P30038
P05089,P35226
P05089,P35244
P05089,P78540
P05089,Q15022
P05089,Q15910
P05089,Q70EK8
P05089,Q9BSB4
P05089,Q9Y5K5
P05090,P0CAP1
P05090,P24941
P05090,P48357
P05090,Q13188
P05090,Q13617
P05090,Q6EER8
P05090,Q6EEV4
P05090,Q9BWU1
P05090,Q9Y6E0
P05091,P0CG48
P05091,P10809
P05091,P40429
P05091,P56537
P05091,P61604
P05091,Q13352
P05091,Q13432
P05091,Q13618
P05091,Q14194
P05091,Q14197
P05091,Q5JWN5
P05091,Q6NSW5
P05091,Q8N357
P05091,Q8TCE6
P05091,Q96ID5
P05091,Q9GZZ9
P05091,Q9NTG7
P05091,Q9UKR5
P05093,P08238
P05093,P16435
P05093,P56381
P05093,Q15257
P05093,Q16878
P05093,Q6NT04
P05093,Q86UA6
P05093,Q9HBU1
P05106,P05106
P05106,P06756
P05106,P07384
P05106,P07947
P05106,P07948
P05106,P07996
P05106,P08123
P05106,P08514
P05106,P08648
P05106,P09619
P05106,P12931
P05106,P14543
P05106,P16234
P05106,P16284
P05106,P16671
P05106,P18031
P05106,P21333
P05106,P21980
P05106,P23471
P05106,P29353
P05106,P31749
P05106,P35968
P05106,P41231
P05106,P43405
P05106,P49023
P05106,P49757
P05106,P98082
P05106,P98095
P05106,Q05397
P05106,Q06124
P05106,Q12929
P05106,Q13352
P05106,Q13418
P05106,Q14289
P05106,Q63HR2
P05106,Q7Z6G8
P05106,Q99704
P05106,Q99828
P05106,Q9UBP9
P05106,Q9UQF2
P05106,Q9Y3P9
P05106,Q9Y490
P05106,Q9Y5C1
P05107,P05129
P05107,P05362
P05107,P05771
P05107,P06734
P05107,P07948
P05107,P08571
P05107,P0CG48
P05107,P11215
P05107,P13598
P05107,P15498
P05107,P17252
P05107,P20701
P05107,P20702
P05107,P22083
P05107,P24158
P05107,P24723
P05107,P27701
P05107,P31946
P05107,P32942
P05107,P35241
P05107,P43405
P05107,P49757
P05107,P55036
P05107,P63104
P05107,P63244
P05107,Q02156
P05107,Q03405
P05107,Q05397
P05107,Q05655
P05107,Q12929
P05107,Q13349
P05107,Q13418
P05107,Q14192
P05107,Q14289
P05107,Q14773
P05107,Q15438
P05107,Q15762
P05107,Q7Z6G8
P05107,Q92905
P05107,Q96S59
P05107,Q99418
P05107,Q99704
P05107,Q9NQ30
P05107,Q9UBP9
P05107,Q9UMF0
P05107,Q9UNS2
P05107,Q9UQF2
P05107,Q9Y3P9
P05107,Q9Y490
P05107,Q9Y4G6
P05108,P10109
P05108,P19099
P05108,P84022
P05108,Q15796
P05109,P06702
P05109,P0CG48
P05109,P17020
P05109,P19878
P05109,P24941
P05109,P29353
P05109,P38936
P05109,P40198
P05109,P50750
P05109,P54274
P05109,P62937
P05109,P68366
P05109,Q00535
P05109,Q01664
P05109,Q09019
P05109,Q13131
P05109,Q13188
P05109,Q13418
P05109,Q13432
P05109,Q14457
P05109,Q14690
P05109,Q15554
P05109,Q15653
P05109,Q15853
P05109,Q16539
P05109,Q38SD2
P05109,Q567Q0
P05109,Q5T3J3
P05109,Q5UIP0
P05109,Q6ZW49
P05109,Q8TDR0
P05109,Q92905
P05109,Q96ID5
P05109,Q99759
P05109,Q99873
P05109,Q9BQ83
P05109,Q9H0B6
P05109,Q9H0T7
P05109,Q9H8S9
P05109,Q9NRC8
P05109,Q9NUX5
P05109,Q9UKR5
P05109,Q9Y575
P05111,P08476
P05111,P09529
P05111,P19883
P05111,P27037
P05111,Q03167
P05112,P19397
P05112,P24394
P05112,P31785
P05112,P35225
P05112,P78552
P05112,Q14627
P05113,P10145
P05113,P32927
P05113,Q01344
P05114,P05204
P05114,P0CG48
P05114,P10451
P05114,P14316
P05114,P17252
P05114,P17612
P05114,P22612
P05114,P24928
P05114,P36873
P05114,P49917
P05114,P51812
P05114,P51858
P05114,P63104
P05114,P78543
P05114,Q03468
P05114,Q09472
P05114,Q13216
P05114,Q15554
P05114,Q16621
P05114,Q16656
P05114,Q6PFW1
P05114,Q99624
P05120,P05120
P05120,P06400
P05120,P20618
P05120,Q08999
P05120,Q14653
P05120,Q6P2Q9
P05121,P05783
P05121,P08246
P05121,P08254
P05121,P0CG48
P05121,P20151
P05121,P20618
P05121,P24593
P05121,P25788
P05121,P35228
P05121,P98164
P05121,Q07954
P05121,Q9NRR5
P05121,Q9NZR2
P05129,B1ATV3
P05129,P06127
P05129,P06730
P05129,P07900
P05129,P08238
P05129,P0CG48
P05129,P11388
P05129,P14867
P05129,P17302
P05129,P18031
P05129,P20073
P05129,P25098
P05129,P28329
P05129,P30086
P05129,P31946
P05129,P34741
P05129,P35568
P05129,P41180
P05129,P41220
P05129,P41594
P05129,P48058
P05129,P48169
P05129,P49757
P05129,P49840
P05129,P60953
P05129,P61764
P05129,P61981
P05129,P62258
P05129,P98082
P05129,Q05586
P05129,Q13009
P05129,Q13224
P05129,Q16236
P05129,Q16625
P05129,Q5JVS0
P05129,Q86UR1
P05129,Q8N556
P05129,Q8ND90
P05129,Q8TD31
P05129,Q8TEW0
P05129,Q92686
P05129,Q96A00
P05129,Q96HC4
P05129,Q96L34
P05129,Q99418
P05129,Q9BYG5
P05129,Q9NPB6
P05129,Q9NRD5
P05129,Q9P2D0
P05129,Q9UQ80
P05129,Q9Y6H8
P05141,A6NK59
P05141,P06748
P05141,P07550
P05141,P07900
P05141,P08865
P05141,P0CG48
P05141,P11441
P05141,P12532
P05141,P13612
P05141,P15735
P05141,P15880
P05141,P17612
P05141,P17931
P05141,P18124
P05141,P19438
P05141,P19838
P05141,P20333
P05141,P22694
P05141,P23396
P05141,P25098
P05141,P25963
P05141,P32969
P05141,P35228
P05141,P35232
P05141,P36578
P05141,P38919
P05141,P39019
P05141,P46777
P05141,P46778
P05141,P48729
P05141,P49674
P05141,P50750
P05141,P50914
P05141,P50995
P05141,P51858
P05141,P61247
P05141,P61313
P05141,P61326
P05141,P61513
P05141,P61586
P05141,P61956
P05141,P62241
P05141,P62244
P05141,P62424
P05141,P62701
P05141,P62750
P05141,P62753
P05141,P62829
P05141,P62847
P05141,P62857
P05141,P62899
P05141,P62906
P05141,P62913
P05141,P62993
P05141,P63220
P05141,P82930
P05141,P84098
P05141,Q02878
P05141,Q04206
P05141,Q07020
P05141,Q12933
P05141,Q13043
P05141,Q13077
P05141,Q13131
P05141,Q13148
P05141,Q13188
P05141,Q13233
P05141,Q13286
P05141,Q13418
P05141,Q13546
P05141,Q13616
P05141,Q13617
P05141,Q13618
P05141,Q13619
P05141,Q13620
P05141,Q14197
P05141,Q15418
P05141,Q15628
P05141,Q15717
P05141,Q15796
P05141,Q5S007
P05141,Q6ZVZ8
P05141,Q7L5N1
P05141,Q86VP6
P05141,Q8N357
P05141,Q8WXI3
P05141,Q92905
P05141,Q93034
P05141,Q96GG9
P05141,Q96HA7
P05141,Q96S44
P05141,Q99759
P05141,Q9BVS4
P05141,Q9HAU4
P05141,Q9HCE7
P05141,Q9HCK5
P05141,Q9NQ39
P05141,Q9NRD1
P05141,Q9NWX5
P05141,Q9UBQ7
P05141,Q9Y3D3
P05141,Q9Y572
P05141,Q9Y575
P05141,Q9Y639
P05141,Q9Y6E7
P05141,Q9Y6K9
P05154,P06870
P05154,P07204
P05154,P07288
P05154,P10323
P05154,P20151
P05154,P52758
P05154,Q02383
P05154,Q09472
P05154,Q7L5N1
P05154,Q8N2W9
P05154,Q96PM5
P05155,P06733
P05155,P08246
P05155,P09871
P05155,P16109
P05155,P16581
P05155,P22736
P05155,P46379
P05155,P48740
P05156,P08603
P05156,P43220
P05161,P06576
P05161,P06733
P05161,P06744
P05161,P07355
P05161,P07737
P05161,P07900
P05161,P08107
P05161,P08238
P05161,P08670
P05161,P08758
P05161,P09211
P05161,P09913
P05161,P09914
P05161,P0CG48
P05161,P10809
P05161,P11142
P05161,P11388
P05161,P12429
P05161,P12814
P05161,P12956
P05161,P13010
P05161,P13639
P05161,P13797
P05161,P14618
P05161,P14866
P05161,P15311
P05161,P18074
P05161,P19525
P05161,P20591
P05161,P21333
P05161,P22083
P05161,P22314
P05161,P22626
P05161,P23381
P05161,P23528
P05161,P25685
P05161,P25705
P05161,P26038
P05161,P26599
P05161,P26639
P05161,P26641
P05161,P27816
P05161,P28838
P05161,P29401
P05161,P30041
P05161,P31939
P05161,P31947
P05161,P32455
P05161,P34932
P05161,P35222
P05161,P35579
P05161,P36952
P05161,P41226
P05161,P42224
P05161,P43034
P05161,P46776
P05161,P46934
P05161,P46940
P05161,P49327
P05161,P49368
P05161,P49759
P05161,P49796
P05161,P50395
P05161,P50991
P05161,P51965
P05161,P52209
P05161,P53396
P05161,P55072
P05161,P58107
P05161,P60981
P05161,P61077
P05161,P61088
P05161,P61978
P05161,P62826
P05161,P62979
P05161,P63244
P05161,P68133
P05161,P68400
P05161,P78371
P05161,P78545
P05161,P83731
P05161,Q00610
P05161,Q00839
P05161,Q01995
P05161,Q02218
P05161,Q02809
P05161,Q04637
P05161,Q05639
P05161,Q05682
P05161,Q06830
P05161,Q09028
P05161,Q09666
P05161,Q12907
P05161,Q13283
P05161,Q13325
P05161,Q13485
P05161,Q13627
P05161,Q13765
P05161,Q14157
P05161,Q14258
P05161,Q14651
P05161,Q14653
P05161,Q14697
P05161,Q14865
P05161,Q14938
P05161,Q15019
P05161,Q15149
P05161,Q15208
P05161,Q15427
P05161,Q15428
P05161,Q15717
P05161,Q16851
P05161,Q16881
P05161,Q5VUA4
P05161,Q6P1X5
P05161,Q7L2J0
P05161,Q7Z2W4
P05161,Q7Z739
P05161,Q86XP3
P05161,Q8NC51
P05161,Q8NDT2
P05161,Q8NFH3
P05161,Q8TC12
P05161,Q8WU90
P05161,Q8WWM7
P05161,Q8WX93
P05161,Q92466
P05161,Q92841
P05161,Q969X6
P05161,Q96I24
P05161,Q96LR5
P05161,Q96MU7
P05161,Q96QC0
P05161,Q96QD5
P05161,Q96ST3
P05161,Q99538
P05161,Q99700
P05161,Q9BRP8
P05161,Q9BYK8
P05161,Q9C0J8
P05161,Q9H974
P05161,Q9NRG9
P05161,Q9NX05
P05161,Q9NYL9
P05161,Q9NZM1
P05161,Q9NZZ3
P05161,Q9P0U3
P05161,Q9UDY4
P05161,Q9UG63
P05161,Q9UII4
P05161,Q9UK58
P05161,Q9UK80
P05161,Q9UMW8
P05161,Q9Y2X9
P05162,P05162
P05162,P07437
P05162,P68363
P05162,P68366
P05162,Q71U36
P05162,Q9Y6K9
P05164,A0N8U5
P05164,P05164
P05164,P20292
P05164,Q6FI00
P05165,P05166
P05165,P09914
P05165,P0CG48
P05165,P50750
P05165,P61088
P05165,Q13043
P05165,Q13131
P05165,Q9UGN5
P05166,P09914
P05166,P0CG48
P05166,P41240
P05166,P42566
P05166,P50750
P05166,P61088
P05166,P67870
P05166,Q13043
P05166,Q13131
P05166,Q14197
P05177,P16435
P05181,P0CG48
P05181,P10909
P05181,P16435
P05181,P21246
P05181,P30084
P05181,P40429
P05181,P50440
P05181,Q13287
P05181,Q8WWZ7
P05181,Q9BYV1
P05181,Q9UKV5
P05181,Q9UNE7
P05181,Q9Y6N6
P05186,Q12933
P05186,Q13114
P05186,Q14240
P05186,Q99558
P05186,Q9NRD1
P05187,P0CG48
P05187,P10696
P05187,P15927
P05187,P27694
P05187,P35244
P05187,P61956
P05187,P63165
P05187,P80108
P05187,Q04323
P05187,Q5T124
P05187,Q92643
P05187,Q96CS3
P05187,Q9BZE9
P05187,Q9BZV1
P05187,Q9NRD1
P05187,Q9UNN5
P05187,Q9UNZ2
P05198,A8MVA2
P05198,P05388
P05198,P06748
P05198,P07237
P05198,P0CG48
P05198,P11308
P05198,P13612
P05198,P14868
P05198,P15927
P05198,P17252
P05198,P19320
P05198,P19525
P05198,P20042
P05198,P26373
P05198,P27694
P05198,P27816
P05198,P31947
P05198,P35244
P05198,P36873
P05198,P41091
P05198,P42574
P05198,P46776
P05198,P47813
P05198,P47897
P05198,P49770
P05198,P51858
P05198,P55212
P05198,P56192
P05198,P61313
P05198,P62424
P05198,P63104
P05198,P67809
P05198,P68400
P05198,P78344
P05198,Q05655
P05198,Q12904
P05198,Q14232
P05198,Q14680
P05198,Q15717
P05198,Q16656
P05198,Q2VIR3
P05198,Q71UM5
P05198,Q86VP6
P05198,Q92499
P05198,Q92900
P05198,Q92905
P05198,Q96T76
P05198,Q99496
P05198,Q99575
P05198,Q9BQI3
P05198,Q9BVK6
P05198,Q9BVS4
P05198,Q9HCD5
P05198,Q9NR50
P05198,Q9NX58
P05198,Q9NZJ5
P05198,Q9UI10
P05198,Q9Y4K3
P05204,P0CG48
P05204,P17252
P05204,P17612
P05204,P24941
P05204,P25098
P05204,P48729
P05204,P51812
P05204,P62993
P05204,P63279
P05204,Q09472
P05204,Q13131
P05204,Q15554
P05204,Q92831
P05204,Q9BVS4
P05204,Q9UGN5
P05230,P0CG48
P05230,P11362
P05230,P15880
P05230,P19784
P05230,P21579
P05230,P21802
P05230,P22455
P05230,P22607
P05230,P38646
P05230,P67870
P05230,P68400
P05230,Q14512
P05230,Q8NI16
P05230,Q96SB4
P05230,Q99584
P05231,P05231
P05231,P08887
P05231,P12272
P05231,P13725
P05231,P40189
P05231,Q05516
P05231,Q99962
P05305,P08473
P05305,P23276
P05305,P23946
P05305,P24530
P05305,P25101
P05305,P35318
P05305,P42892
P05305,P46379
P05305,Q7L5N1
P05305,Q9NRR5
P05362,B5ME19
P05362,P05362
P05362,P05387
P05362,P05388
P05362,P06748
P05362,P06899
P05362,P07437
P05362,P08195
P05362,P09651
P05362,P09661
P05362,P0CG48
P05362,P10412
P05362,P11055
P05362,P11215
P05362,P11229
P05362,P11940
P05362,P12814
P05362,P12956
P05362,P13010
P05362,P14678
P05362,P15311
P05362,P15880
P05362,P16150
P05362,P16402
P05362,P16403
P05362,P16989
P05362,P18077
P05362,P18621
P05362,P19338
P05362,P20701
P05362,P21333
P05362,P22090
P05362,P22626
P05362,P23396
P05362,P23527
P05362,P26038
P05362,P26373
P05362,P30050
P05362,P31785
P05362,P31943
P05362,P32969
P05362,P33778
P05362,P35228
P05362,P35268
P05362,P35544
P05362,P36578
P05362,P37108
P05362,P39019
P05362,P40429
P05362,P42766
P05362,P46776
P05362,P46777
P05362,P46781
P05362,P49368
P05362,P50991
P05362,P51991
P05362,P55884
P05362,P58876
P05362,P60228
P05362,P60709
P05362,P61247
P05362,P61254
P05362,P61353
P05362,P61978
P05362,P62241
P05362,P62249
P05362,P62263
P05362,P62269
P05362,P62277
P05362,P62310
P05362,P62314
P05362,P62318
P05362,P62424
P05362,P62701
P05362,P62750
P05362,P62753
P05362,P62807
P05362,P62841
P05362,P62851
P05362,P62857
P05362,P62888
P05362,P62899
P05362,P62913
P05362,P62917
P05362,P67809
P05362,P68366
P05362,P68400
P05362,P68431
P05362,P83731
P05362,P84098
P05362,P84103
P05362,P84243
P05362,Q00577
P05362,Q00839
P05362,Q01105
P05362,Q02539
P05362,Q02878
P05362,Q07020
P05362,Q12905
P05362,Q12906
P05362,Q13347
P05362,Q13428
P05362,Q14103
P05362,Q14152
P05362,Q15020
P05362,Q16666
P05362,Q16695
P05362,Q5JNZ5
P05362,Q5QNW6
P05362,Q6P2Q9
P05362,Q71DI3
P05362,Q86V81
P05362,Q92688
P05362,Q92841
P05362,Q93079
P05362,Q96A08
P05362,Q99613
P05362,Q99877
P05362,Q99879
P05362,Q99880
P05362,Q9BUF5
P05362,Q9H2F3
P05362,Q9UBQ5
P05362,Q9UJT0
P05362,Q9UMI6
P05362,Q9UNX3
P05362,Q9Y262
P05362,Q9Y2T7
P05362,Q9Y3U8
P05362,Q9Y5B9
P05386,P05387
P05386,P05388
P05386,P06748
P05386,P07550
P05386,P08708
P05386,P08865
P05386,P09913
P05386,P09914
P05386,P0CG48
P05386,P11021
P05386,P11441
P05386,P12956
P05386,P13693
P05386,P15880
P05386,P15927
P05386,P16455
P05386,P19525
P05386,P21246
P05386,P21673
P05386,P23396
P05386,P25098
P05386,P30050
P05386,P32121
P05386,P35226
P05386,P35637
P05386,P36578
P05386,P39019
P05386,P46459
P05386,P46782
P05386,P46783
P05386,P48729
P05386,P49841
P05386,P56134
P05386,P61077
P05386,P61247
P05386,P61956
P05386,P62081
P05386,P62241
P05386,P62244
P05386,P62249
P05386,P62277
P05386,P62280
P05386,P62424
P05386,P62701
P05386,P62714
P05386,P62753
P05386,P62829
P05386,P62841
P05386,P62847
P05386,P62851
P05386,P62854
P05386,P62913
P05386,P62979
P05386,P63220
P05386,P68104
P05386,P68400
P05386,P78318
P05386,P82673
P05386,P84098
P05386,Q00839
P05386,Q02878
P05386,Q13131
P05386,Q13418
P05386,Q13616
P05386,Q13617
P05386,Q13618
P05386,Q13619
P05386,Q13620
P05386,Q13885
P05386,Q14152
P05386,Q15418
P05386,Q15750
P05386,Q15843
P05386,Q16656
P05386,Q53EL6
P05386,Q5FBB7
P05386,Q5JR01
P05386,Q5R3B4
P05386,Q5T3J3
P05386,Q5TEJ7
P05386,Q5UIP0
P05386,Q6ZRI6
P05386,Q7L5N1
P05386,Q86VP6
P05386,Q86YJ7
P05386,Q8NHW5
P05386,Q92905
P05386,Q93034
P05386,Q96PM5
P05386,Q99496
P05386,Q9BVS4
P05386,Q9GZQ8
P05386,Q9H1I8
P05386,Q9H840
P05386,Q9HC07
P05386,Q9NPI1
P05386,Q9NRC8
P05386,Q9NSD9
P05386,Q9UK32
P05387,P05388
P05387,P08708
P05387,P08865
P05387,P09651
P05387,P0CG48
P05387,P11441
P05387,P15735
P05387,P15880
P05387,P16104
P05387,P19525
P05387,P19784
P05387,P23396
P05387,P24941
P05387,P25098
P05387,P27348
P05387,P32121
P05387,P35222
P05387,P45983
P05387,P46777
P05387,P46782
P05387,P48729
P05387,P49674
P05387,P50750
P05387,P50914
P05387,P51991
P05387,P52815
P05387,P55786
P05387,P60033
P05387,P60866
P05387,P61247
P05387,P61956
P05387,P62081
P05387,P62241
P05387,P62244
P05387,P62249
P05387,P62263
P05387,P62277
P05387,P62280
P05387,P62701
P05387,P62753
P05387,P62829
P05387,P62841
P05387,P62847
P05387,P62851
P05387,P62854
P05387,P62857
P05387,P62987
P05387,P63104
P05387,P63220
P05387,Q00653
P05387,Q00839
P05387,Q01201
P05387,Q06710
P05387,Q13043
P05387,Q13131
P05387,Q13233
P05387,Q13616
P05387,Q13617
P05387,Q13618
P05387,Q13619
P05387,Q13620
P05387,Q15418
P05387,Q15843
P05387,Q16539
P05387,Q504Q3
P05387,Q71UM5
P05387,Q7L5N1
P05387,Q86VP6
P05387,Q8NHW5
P05387,Q92905
P05387,Q93034
P05387,Q969P0
P05387,Q96GG9
P05387,Q96KP4
P05387,Q96S44
P05387,Q99558
P05387,Q9BVS4
P05387,Q9NR45
P05387,Q9NRC8
P05387,Q9NRD1
P05387,Q9UQ80
P05387,Q9Y6E0
P05387,Q9Y6K9
P05388,P06748
P05388,P07900
P05388,P08238
P05388,P08865
P05388,P0CG48
P05388,P11308
P05388,P11441
P05388,P13612
P05388,P14868
P05388,P15880
P05388,P15927
P05388,P18124
P05388,P18621
P05388,P19320
P05388,P19525
P05388,P23396
P05388,P24941
P05388,P26373
P05388,P27348
P05388,P27694
P05388,P31689
P05388,P32121
P05388,P32969
P05388,P35244
P05388,P35268
P05388,P35558
P05388,P35813
P05388,P36578
P05388,P39023
P05388,P40337
P05388,P41252
P05388,P46777
P05388,P46778
P05388,P46782
P05388,P46783
P05388,P46940
P05388,P47897
P05388,P50914
P05388,P52272
P05388,P54136
P05388,P55769
P05388,P56192
P05388,P60033
P05388,P60866
P05388,P61247
P05388,P61313
P05388,P62241
P05388,P62244
P05388,P62249
P05388,P62258
P05388,P62263
P05388,P62277
P05388,P62280
P05388,P62424
P05388,P62701
P05388,P62750
P05388,P62753
P05388,P62829
P05388,P62847
P05388,P62851
P05388,P62854
P05388,P62888
P05388,P62899
P05388,P62906
P05388,P62913
P05388,P62917
P05388,P62979
P05388,P63104
P05388,P63220
P05388,P68400
P05388,P68402
P05388,P83731
P05388,P84022
P05388,P84098
P05388,Q00839
P05388,Q02543
P05388,Q02878
P05388,Q07020
P05388,Q12904
P05388,Q12905
P05388,Q13148
P05388,Q13616
P05388,Q13617
P05388,Q13618
P05388,Q13620
P05388,Q14684
P05388,Q15843
P05388,Q16643
P05388,Q32MZ4
P05388,Q504Q3
P05388,Q6EMK4
P05388,Q7L2J0
P05388,Q86VP6
P05388,Q8N9T8
P05388,Q8NHW5
P05388,Q92630
P05388,Q92731
P05388,Q92905
P05388,Q93034
P05388,Q969P0
P05388,Q96GG9
P05388,Q96L21
P05388,Q9BVS4
P05388,Q9H3D4
P05388,Q9H4L4
P05388,Q9NRC8
P05388,Q9NSD9
P05388,Q9UQ80
P05388,Q9UQL6
P05388,Q9Y285
P05388,Q9Y2K1
P05388,Q9Y3U8
P05388,Q9Y6K9
P05400,Q9HC52
P05408,P16519
P05408,P55055
P05408,Q07666
P05408,Q5VYA0
P05408,Q9NRR5
P05412,B3KP27
P05412,P06400
P05412,P06454
P05412,P07197
P05412,P07437
P05412,P07900
P05412,P07951
P05412,P08047
P05412,P09493
P05412,P0CG48
P05412,P10275
P05412,P11308
P05412,P11387
P05412,P11388
P05412,P11473
P05412,P12755
P05412,P13984
P05412,P14921
P05412,P15036
P05412,P15172
P05412,P15336
P05412,P15407
P05412,P15408
P05412,P15498
P05412,P15884
P05412,P15941
P05412,P16220
P05412,P16298
P05412,P17096
P05412,P17947
P05412,P18146
P05412,P18846
P05412,P18847
P05412,P18848
P05412,P19784
P05412,P20226
P05412,P20645
P05412,P20749
P05412,P21675
P05412,P23511
P05412,P23769
P05412,P27361
P05412,P28069
P05412,P28482
P05412,P29084
P05412,P29590
P05412,P31269
P05412,P31273
P05412,P35269
P05412,P35638
P05412,P38398
P05412,P38936
P05412,P40763
P05412,P41182
P05412,P41240
P05412,P42224
P05412,P42226
P05412,P45983
P05412,P45984
P05412,P45985
P05412,P46934
P05412,P48552
P05412,P48634
P05412,P49407
P05412,P49591
P05412,P49715
P05412,P49841
P05412,P51610
P05412,P51617
P05412,P51858
P05412,P52272
P05412,P52292
P05412,P53567
P05412,P53779
P05412,P54760
P05412,P55211
P05412,P55854
P05412,P56270
P05412,P56279
P05412,P56524
P05412,P56693
P05412,P57073
P05412,P60002
P05412,P60510
P05412,P61201
P05412,P61956
P05412,P62988
P05412,P63165
P05412,P63244
P05412,P63279
P05412,P67870
P05412,P68400
P05412,P78527
P05412,P78545
P05412,P84022
P05412,Q00403
P05412,Q00987
P05412,Q01196
P05412,Q01892
P05412,Q02543
P05412,Q02930
P05412,Q03014
